GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.bignumber.core,CalculationResult,0,9,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.bignumber.core,CalculationStep,4,102,6,8,0,18,6,9,0,8
JaCoCo Coverage Report,com.bignumber.core,MyBigNumber,0,579,0,52,0,101,0,31,0,5
